pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
Little Broadhurst	contig_8999	14001	15000	NA	0	NA	NA	NA
Davies	contig_8999	14001	15000	NA	0	NA	NA	NA
Heron	contig_8999	14001	15000	NA	0	NA	NA	NA
Moore	contig_8999	15001	16000	NA	0	NA	NA	NA
Pelorus	contig_8999	15001	16000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	15001	16000	NA	0	NA	NA	NA
Lizard	contig_8999	15001	16000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	15001	16000	NA	0	NA	NA	NA
Davies	contig_8999	15001	16000	NA	0	NA	NA	NA
Heron	contig_8999	15001	16000	NA	0	NA	NA	NA
Chicken	contig_8999	15001	16000	NA	0	NA	NA	NA
Pelorus	contig_8999	16001	17000	NA	0	NA	NA	NA
Davies	contig_8999	16001	17000	NA	0	NA	NA	NA
Chicken	contig_8999	16001	17000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	16001	17000	NA	0	NA	NA	NA
Heron	contig_8999	16001	17000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	16001	17000	NA	0	NA	NA	NA
Lizard	contig_8999	16001	17000	NA	0	NA	NA	NA
Moore	contig_8999	16001	17000	NA	0	NA	NA	NA
Pelorus	contig_8999	17001	18000	NA	0	NA	NA	NA
Moore	contig_8999	17001	18000	NA	0	NA	NA	NA
Lizard	contig_8999	17001	18000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	17001	18000	NA	0	NA	NA	NA
Davies	contig_8999	17001	18000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	17001	18000	NA	0	NA	NA	NA
Chicken	contig_8999	17001	18000	NA	0	NA	NA	NA
Heron	contig_8999	17001	18000	NA	0	NA	NA	NA
Lizard	contig_8999	18001	19000	NA	0	NA	NA	NA
Moore	contig_8999	18001	19000	NA	0	NA	NA	NA
Pelorus	contig_8999	18001	19000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	18001	19000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	18001	19000	NA	0	NA	NA	NA
Davies	contig_8999	18001	19000	NA	0	NA	NA	NA
Heron	contig_8999	18001	19000	NA	0	NA	NA	NA
Chicken	contig_8999	18001	19000	NA	0	NA	NA	NA
Pelorus	contig_8999	19001	20000	NA	0	NA	NA	NA
Davies	contig_8999	19001	20000	NA	0	NA	NA	NA
Chicken	contig_8999	19001	20000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	19001	20000	NA	0	NA	NA	NA
Heron	contig_8999	19001	20000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	19001	20000	NA	0	NA	NA	NA
Lizard	contig_8999	19001	20000	NA	0	NA	NA	NA
Moore	contig_8999	19001	20000	NA	0	NA	NA	NA
Pelorus	contig_8999	20001	21000	NA	0	NA	NA	NA
Moore	contig_8999	20001	21000	NA	0	NA	NA	NA
Lizard	contig_8999	20001	21000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	20001	21000	NA	0	NA	NA	NA
Chicken	contig_8999	20001	21000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	20001	21000	NA	0	NA	NA	NA
Davies	contig_8999	20001	21000	NA	0	NA	NA	NA
Heron	contig_8999	20001	21000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	21001	22000	NA	0	NA	NA	NA
Moore	contig_8999	21001	22000	NA	0	NA	NA	NA
Lizard	contig_8999	21001	22000	NA	0	NA	NA	NA
Pelorus	contig_8999	21001	22000	NA	0	NA	NA	NA
Heron	contig_8999	21001	22000	NA	0	NA	NA	NA
Chicken	contig_8999	21001	22000	NA	0	NA	NA	NA
Davies	contig_8999	21001	22000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	21001	22000	NA	0	NA	NA	NA
Davies	contig_8999	22001	23000	NA	0	NA	NA	NA
Chicken	contig_8999	22001	23000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	22001	23000	NA	0	NA	NA	NA
Heron	contig_8999	22001	23000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	22001	23000	NA	0	NA	NA	NA
Lizard	contig_8999	22001	23000	NA	0	NA	NA	NA
Moore	contig_8999	22001	23000	NA	0	NA	NA	NA
Pelorus	contig_8999	22001	23000	NA	0	NA	NA	NA
Pelorus	contig_8999	23001	24000	NA	0	NA	NA	NA
Moore	contig_8999	23001	24000	NA	0	NA	NA	NA
Lizard	contig_8999	23001	24000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	23001	24000	NA	0	NA	NA	NA
Davies	contig_8999	23001	24000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	23001	24000	NA	0	NA	NA	NA
Chicken	contig_8999	23001	24000	NA	0	NA	NA	NA
Heron	contig_8999	23001	24000	NA	0	NA	NA	NA
Lizard	contig_8999	24001	25000	NA	0	NA	NA	NA
Pelorus	contig_8999	24001	25000	NA	0	NA	NA	NA
Moore	contig_8999	24001	25000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	24001	25000	NA	0	NA	NA	NA
Heron	contig_8999	24001	25000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	24001	25000	NA	0	NA	NA	NA
Chicken	contig_8999	24001	25000	NA	0	NA	NA	NA
Davies	contig_8999	24001	25000	NA	0	NA	NA	NA
Moore	contig_8999	25001	26000	NA	0	NA	NA	NA
Lizard	contig_8999	25001	26000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	25001	26000	NA	0	NA	NA	NA
Pelorus	contig_8999	25001	26000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	25001	26000	NA	0	NA	NA	NA
Chicken	contig_8999	25001	26000	NA	0	NA	NA	NA
Davies	contig_8999	25001	26000	NA	0	NA	NA	NA
Heron	contig_8999	25001	26000	NA	0	NA	NA	NA
Davies	contig_8999	26001	27000	NA	0	NA	NA	NA
Chicken	contig_8999	26001	27000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	26001	27000	NA	0	NA	NA	NA
Heron	contig_8999	26001	27000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	26001	27000	NA	0	NA	NA	NA
Lizard	contig_8999	26001	27000	NA	0	NA	NA	NA
Moore	contig_8999	26001	27000	NA	0	NA	NA	NA
Pelorus	contig_8999	26001	27000	NA	0	NA	NA	NA
Moore	contig_8999	27001	28000	NA	0	NA	NA	NA
Pelorus	contig_8999	27001	28000	NA	0	NA	NA	NA
Lizard	contig_8999	27001	28000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	27001	28000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	27001	28000	NA	0	NA	NA	NA
Chicken	contig_8999	27001	28000	NA	0	NA	NA	NA
Davies	contig_8999	27001	28000	NA	0	NA	NA	NA
Heron	contig_8999	27001	28000	NA	0	NA	NA	NA
Pelorus	contig_8999	28001	29000	NA	0	NA	NA	NA
Lizard	contig_8999	28001	29000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	28001	29000	NA	0	NA	NA	NA
Moore	contig_8999	28001	29000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	28001	29000	NA	0	NA	NA	NA
Chicken	contig_8999	28001	29000	NA	0	NA	NA	NA
Davies	contig_8999	28001	29000	NA	0	NA	NA	NA
Heron	contig_8999	28001	29000	NA	0	NA	NA	NA
Pelorus	contig_8999	29001	30000	0.0441559729186142	164	6235	141204	0
Davies	contig_8999	29001	30000	0.0426193375115255	164	91151	2138724	0
Chicken	contig_8999	29001	30000	0.0525703564727954	164	2802	53300	0
Little Broadhurst	contig_8999	29001	30000	0.0394464746041188	164	5570	141204	0
Heron	contig_8999	29001	30000	0.0325697416593616	164	5053	155144	0
Lady Musgrave	contig_8999	29001	30000	0.033180894308943	164	653	19680	0
Lizard	contig_8999	29001	30000	0.0415057204870691	164	13539	326196	4428
Moore	contig_8999	29001	30000	0.0381405383412921	164	14249	373592	0
Moore	contig_8999	30001	31000	NA	0	NA	NA	NA
Lizard	contig_8999	30001	31000	NA	0	NA	NA	NA
Pelorus	contig_8999	30001	31000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	30001	31000	NA	0	NA	NA	NA
Heron	contig_8999	30001	31000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	30001	31000	NA	0	NA	NA	NA
Chicken	contig_8999	30001	31000	NA	0	NA	NA	NA
Davies	contig_8999	30001	31000	NA	0	NA	NA	NA
Davies	contig_8999	31001	32000	NA	0	NA	NA	NA
Chicken	contig_8999	31001	32000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	31001	32000	NA	0	NA	NA	NA
Heron	contig_8999	31001	32000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	31001	32000	NA	0	NA	NA	NA
Lizard	contig_8999	31001	32000	NA	0	NA	NA	NA
Moore	contig_8999	31001	32000	NA	0	NA	NA	NA
Pelorus	contig_8999	31001	32000	NA	0	NA	NA	NA
Pelorus	contig_8999	32001	33000	NA	0	NA	NA	NA
Moore	contig_8999	32001	33000	NA	0	NA	NA	NA
Lizard	contig_8999	32001	33000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	32001	33000	NA	0	NA	NA	NA
Davies	contig_8999	32001	33000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	32001	33000	NA	0	NA	NA	NA
Chicken	contig_8999	32001	33000	NA	0	NA	NA	NA
Heron	contig_8999	32001	33000	NA	0	NA	NA	NA
Lizard	contig_8999	33001	34000	NA	0	NA	NA	NA
Pelorus	contig_8999	33001	34000	NA	0	NA	NA	NA
Moore	contig_8999	33001	34000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	33001	34000	NA	0	NA	NA	NA
Heron	contig_8999	33001	34000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	33001	34000	NA	0	NA	NA	NA
Chicken	contig_8999	33001	34000	NA	0	NA	NA	NA
Davies	contig_8999	33001	34000	NA	0	NA	NA	NA
Moore	contig_8999	34001	35000	NA	0	NA	NA	NA
Lizard	contig_8999	34001	35000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	34001	35000	NA	0	NA	NA	NA
Pelorus	contig_8999	34001	35000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	34001	35000	NA	0	NA	NA	NA
Chicken	contig_8999	34001	35000	NA	0	NA	NA	NA
Davies	contig_8999	34001	35000	NA	0	NA	NA	NA
Heron	contig_8999	34001	35000	NA	0	NA	NA	NA
Davies	contig_8999	35001	36000	NA	0	NA	NA	NA
Chicken	contig_8999	35001	36000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	35001	36000	NA	0	NA	NA	NA
Heron	contig_8999	35001	36000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	35001	36000	NA	0	NA	NA	NA
Lizard	contig_8999	35001	36000	NA	0	NA	NA	NA
Moore	contig_8999	35001	36000	NA	0	NA	NA	NA
Pelorus	contig_8999	35001	36000	NA	0	NA	NA	NA
Lizard	contig_8999	36001	37000	NA	0	NA	NA	NA
Pelorus	contig_8999	36001	37000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	36001	37000	NA	0	NA	NA	NA
Moore	contig_8999	36001	37000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	36001	37000	NA	0	NA	NA	NA
Davies	contig_8999	36001	37000	NA	0	NA	NA	NA
Heron	contig_8999	36001	37000	NA	0	NA	NA	NA
Chicken	contig_8999	36001	37000	NA	0	NA	NA	NA
Moore	contig_8999	37001	38000	NA	0	NA	NA	NA
Lizard	contig_8999	37001	38000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	37001	38000	NA	0	NA	NA	NA
Pelorus	contig_8999	37001	38000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	37001	38000	NA	0	NA	NA	NA
Chicken	contig_8999	37001	38000	NA	0	NA	NA	NA
Davies	contig_8999	37001	38000	NA	0	NA	NA	NA
Heron	contig_8999	37001	38000	NA	0	NA	NA	NA
Davies	contig_8999	38001	39000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	38001	39000	NA	0	NA	NA	NA
Heron	contig_8999	38001	39000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	38001	39000	NA	0	NA	NA	NA
Lizard	contig_8999	38001	39000	NA	0	NA	NA	NA
Moore	contig_8999	38001	39000	NA	0	NA	NA	NA
Pelorus	contig_8999	38001	39000	NA	0	NA	NA	NA
Chicken	contig_8999	38001	39000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	39001	40000	NA	0	NA	NA	NA
Pelorus	contig_8999	39001	40000	NA	0	NA	NA	NA
Moore	contig_8999	39001	40000	NA	0	NA	NA	NA
Lizard	contig_8999	39001	40000	NA	0	NA	NA	NA
Heron	contig_8999	39001	40000	NA	0	NA	NA	NA
Chicken	contig_8999	39001	40000	NA	0	NA	NA	NA
Davies	contig_8999	39001	40000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	39001	40000	NA	0	NA	NA	NA
Moore	contig_8999	40001	41000	0.0194122500121326	199	8800	453322	0
Lizard	contig_8999	40001	41000	0.0150645319840622	199	6038	400809	375
Lady Musgrave	contig_8999	40001	41000	0.0094639865996649	199	226	23880	0
Pelorus	contig_8999	40001	41000	0.0091689574469326	199	1571	171339	0
Little Broadhurst	contig_8999	40001	41000	0.0137913726588809	199	2363	171339	0
Chicken	contig_8999	40001	41000	0.0200541167375338	199	1297	64675	0
Davies	contig_8999	40001	41000	0.0120508993861262	199	31274	2595159	0
Heron	contig_8999	40001	41000	0.0061193918854313	199	1152	188254	0
Davies	contig_8999	41001	42000	NA	0	NA	NA	NA
Chicken	contig_8999	41001	42000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	41001	42000	NA	0	NA	NA	NA
Heron	contig_8999	41001	42000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	41001	42000	NA	0	NA	NA	NA
Lizard	contig_8999	41001	42000	NA	0	NA	NA	NA
Moore	contig_8999	41001	42000	NA	0	NA	NA	NA
Pelorus	contig_8999	41001	42000	NA	0	NA	NA	NA
Pelorus	contig_8999	42001	43000	NA	0	NA	NA	NA
Moore	contig_8999	42001	43000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	42001	43000	NA	0	NA	NA	NA
Lizard	contig_8999	42001	43000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	42001	43000	NA	0	NA	NA	NA
Chicken	contig_8999	42001	43000	NA	0	NA	NA	NA
Davies	contig_8999	42001	43000	NA	0	NA	NA	NA
Heron	contig_8999	42001	43000	NA	0	NA	NA	NA
Moore	contig_8999	43001	44000	NA	0	NA	NA	NA
Lizard	contig_8999	43001	44000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	43001	44000	NA	0	NA	NA	NA
Pelorus	contig_8999	43001	44000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	43001	44000	NA	0	NA	NA	NA
Chicken	contig_8999	43001	44000	NA	0	NA	NA	NA
Davies	contig_8999	43001	44000	NA	0	NA	NA	NA
Heron	contig_8999	43001	44000	NA	0	NA	NA	NA
Davies	contig_8999	44001	45000	NA	0	NA	NA	NA
Chicken	contig_8999	44001	45000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	44001	45000	NA	0	NA	NA	NA
Heron	contig_8999	44001	45000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	44001	45000	NA	0	NA	NA	NA
Lizard	contig_8999	44001	45000	NA	0	NA	NA	NA
Moore	contig_8999	44001	45000	NA	0	NA	NA	NA
Pelorus	contig_8999	44001	45000	NA	0	NA	NA	NA
Pelorus	contig_8999	45001	46000	NA	0	NA	NA	NA
Moore	contig_8999	45001	46000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	45001	46000	NA	0	NA	NA	NA
Lizard	contig_8999	45001	46000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	45001	46000	NA	0	NA	NA	NA
Chicken	contig_8999	45001	46000	NA	0	NA	NA	NA
Davies	contig_8999	45001	46000	NA	0	NA	NA	NA
Heron	contig_8999	45001	46000	NA	0	NA	NA	NA
Davies	contig_8999	46001	47000	NA	0	NA	NA	NA
Chicken	contig_8999	46001	47000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	46001	47000	NA	0	NA	NA	NA
Heron	contig_8999	46001	47000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	46001	47000	NA	0	NA	NA	NA
Lizard	contig_8999	46001	47000	NA	0	NA	NA	NA
Moore	contig_8999	46001	47000	NA	0	NA	NA	NA
Pelorus	contig_8999	46001	47000	NA	0	NA	NA	NA
Pelorus	contig_8999	47001	48000	NA	0	NA	NA	NA
Moore	contig_8999	47001	48000	NA	0	NA	NA	NA
Lizard	contig_8999	47001	48000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	47001	48000	NA	0	NA	NA	NA
Chicken	contig_8999	47001	48000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	47001	48000	NA	0	NA	NA	NA
Davies	contig_8999	47001	48000	NA	0	NA	NA	NA
Heron	contig_8999	47001	48000	NA	0	NA	NA	NA
Moore	contig_8999	48001	49000	0.0226316703489662	182	9383	414596	0
Davies	contig_8999	48001	49000	0.0222619398726056	182	46497	2088632	284830
Chicken	contig_8999	48001	49000	0.0283009298393913	182	1674	59150	0
Little Broadhurst	contig_8999	48001	49000	0.0184873198810481	182	2897	156702	0
Heron	contig_8999	48001	49000	0.0127198383012336	182	2190	172172	0
Lady Musgrave	contig_8999	48001	49000	0.0136446886446886	182	298	21840	0
Lizard	contig_8999	48001	49000	0.0210506372030872	182	6333	300846	66066
Pelorus	contig_8999	48001	49000	0.0155135224821635	182	2431	156702	0
Davies	contig_5797	1	1000	NA	0	NA	NA	NA
Chicken	contig_5797	1	1000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	1	1000	NA	0	NA	NA	NA
Heron	contig_5797	1	1000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	1	1000	NA	0	NA	NA	NA
Lizard	contig_5797	1	1000	NA	0	NA	NA	NA
Moore	contig_5797	1	1000	NA	0	NA	NA	NA
Pelorus	contig_5797	1	1000	NA	0	NA	NA	NA
Pelorus	contig_5797	1001	2000	NA	0	NA	NA	NA
Moore	contig_5797	1001	2000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	1001	2000	NA	0	NA	NA	NA
Lizard	contig_5797	1001	2000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	1001	2000	NA	0	NA	NA	NA
Chicken	contig_5797	1001	2000	NA	0	NA	NA	NA
Davies	contig_5797	1001	2000	NA	0	NA	NA	NA
Heron	contig_5797	1001	2000	NA	0	NA	NA	NA
Davies	contig_5797	2001	3000	NA	0	NA	NA	NA
Chicken	contig_5797	2001	3000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	2001	3000	NA	0	NA	NA	NA
Heron	contig_5797	2001	3000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	2001	3000	NA	0	NA	NA	NA
Lizard	contig_5797	2001	3000	NA	0	NA	NA	NA
Moore	contig_5797	2001	3000	NA	0	NA	NA	NA
Pelorus	contig_5797	2001	3000	NA	0	NA	NA	NA
Lizard	contig_5797	3001	4000	NA	0	NA	NA	NA
Pelorus	contig_5797	3001	4000	NA	0	NA	NA	NA
Moore	contig_5797	3001	4000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	3001	4000	NA	0	NA	NA	NA
Chicken	contig_5797	3001	4000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	3001	4000	NA	0	NA	NA	NA
Davies	contig_5797	3001	4000	NA	0	NA	NA	NA
Heron	contig_5797	3001	4000	NA	0	NA	NA	NA
Davies	contig_5797	4001	5000	NA	0	NA	NA	NA
Chicken	contig_5797	4001	5000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	4001	5000	NA	0	NA	NA	NA
Heron	contig_5797	4001	5000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	4001	5000	NA	0	NA	NA	NA
Lizard	contig_5797	4001	5000	NA	0	NA	NA	NA
Moore	contig_5797	4001	5000	NA	0	NA	NA	NA
Pelorus	contig_5797	4001	5000	NA	0	NA	NA	NA
Pelorus	contig_5797	5001	6000	NA	0	NA	NA	NA
Moore	contig_5797	5001	6000	NA	0	NA	NA	NA
